year,全国,深圳,广州,北京,上海,香港
2000,89404,1665.24,,,,14198.6
2001,95933,1954.17,,,,14009.63
2002,102398,2239.41,,,,13757.06
2003,116694,2860.51,,,,13346.54
2004,136515,3422.8,,,,13984.57
2005,182321,4926.9,,,,14707.17
2006,209407,5684.39,,,,15482.88
2007,246619,6765.41,,,,16398.76
2008,300670,7806.54,,,,15130.32
2009,335353,8201.23,,,,14662.15
2010,397983,9510.91,,,,15547.38
2011,471564,11502.06,,,,16153.41
2012,519322,12950.08,,,,16545.63
2013,568845,14500.23,,,,16955.37
2014,636463,16001.98,,,,18070.46
2015,676708,17502.99,,,,19491.19
2016,744127,19492.6,,,,21377.25
2017,827122,22438.39,,,,23234.72
2018,900309,24221.98,,,,24662.38
2019,990865,26927.09,,,,24366.43
